preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.8806,30.5262,0.4439,3.4125,27.7368
7.4849,31.3160,0.4675,3.2172,28.5143
5.7673,30.6213,0.4411,3.2189,30.9514
6.8624,32.5119,0.5000,3.5536,27.5721
7.0353,30.9494,0.4416,3.2847,33.2891
7.2284,29.9106,0.4504,3.1998,29.2109
5.7368,29.8684,0.4559,3.1960,28.7430
5.8012,29.5031,0.4838,3.3638,27.8481
5.7757,30.0448,0.4425,3.1459,33.5911
5.7540,29.2141,0.4423,2.9256,28.6640
5.8315,30.0226,0.4573,3.4072,30.2814
5.9803,31.8663,0.4776,3.0692,33.6067
5.7840,29.7582,0.4435,2.8985,29.1158
5.7843,29.8362,0.4563,3.1815,32.7418
5.7800,31.1151,0.4435,3.4115,30.2500
5.7917,30.8099,0.4416,3.1378,29.8191
5.7828,29.9387,0.4416,3.2868,27.5501
5.8377,29.8283,0.4416,3.4175,32.4750
5.6305,30.0000,0.4411,3.1996,25.7289
6.5250,32.5077,0.4797,3.3758,30.1118
5.8959,31.8549,0.4606,3.3877,31.4010
5.9578,29.8219,0.4437,3.2198,28.5567
7.4508,32.8660,0.4768,3.6323,33.5740
5.8234,32.3775,0.4718,3.3827,28.9446
6.0630,30.6585,0.4406,3.2468,32.5912
7.0503,32.1124,0.4466,3.4778,26.9130
6.2804,30.1960,0.4272,3.4814,27.6150
5.6660,30.1428,0.4284,3.3827,31.3801
5.6281,29.9141,0.4969,3.6199,31.3410
5.6703,29.4702,0.4287,3.2158,29.2150
5.7480,29.4368,0.4256,3.2575,32.1320
5.9297,29.5475,0.4520,3.2327,29.8381
5.9428,31.1761,0.4625,3.3123,30.1062
5.9493,31.1971,0.4435,3.3255,32.0847
5.7542,29.8500,0.4425,3.4304,28.5229
5.8720,29.8216,0.4475,3.3615,27.4974
5.8329,31.9774,0.4423,3.3786,30.3688
5.7187,30.5200,0.4315,3.5970,25.7328
5.6841,30.1254,0.4280,3.7043,29.0582
5.6703,29.9978,0.4418,3.7014,30.1886
5.8661,31.2314,0.4413,3.7606,27.7007
5.8608,30.6897,0.4420,3.5801,33.4274
5.8737,31.8897,0.4635,3.6237,32.1494
5.6837,29.3806,0.4306,3.5028,25.0023
