Preprocessing,Inference,Postprocessing,Tracking,OpFlow
4.5770,110.6663,4.3143,1.3315,0.0000
4.3562,110.5175,4.0154,1.2909,0.0000
4.2088,110.9312,4.3253,1.3536,0.0000
4.2100,110.1930,4.4214,1.2916,0.0000
4.5772,110.8457,4.3191,1.3535,0.0000
4.2962,110.1307,4.0569,1.2885,0.0000
4.1945,110.6332,4.2311,1.3143,0.0000
4.2391,109.9413,4.3758,1.2901,0.0000
4.4895,110.9016,4.2328,1.2743,0.0000
4.2751,109.9402,3.9959,1.3327,0.0000
4.2651,110.1754,4.2786,1.3022,0.0000
4.3046,110.9628,4.3713,1.2414,0.0000
4.4976,110.6099,4.2581,1.3083,0.0000
4.3064,110.1473,3.9501,1.2850,0.0000
4.2479,110.8610,4.2793,1.3639,0.0000
4.1565,110.3563,4.3953,1.2268,0.0000
4.5620,110.9065,4.2473,1.2862,0.0000
4.3159,109.8368,3.9951,1.3158,0.0000
4.2150,110.4137,4.2522,1.2861,0.0000
4.1950,110.6436,4.4218,1.2382,0.0000
4.5616,110.8335,4.2264,1.2745,0.0000
4.3020,109.7554,3.9943,1.2610,0.0000
4.2408,109.9676,4.2497,1.2860,0.0000
4.2268,110.5084,4.4237,1.1994,0.0000
4.2222,110.8733,4.2813,1.3196,0.0000
4.3008,111.2135,4.0297,1.2813,0.0000
4.2568,110.1809,4.2900,1.2308,0.0000
4.2478,111.0351,4.3392,1.2064,0.0000
4.1535,110.9744,4.2271,1.2568,0.0000
4.3195,110.8086,3.9469,1.1127,0.0000
4.2334,110.5860,4.1831,1.3000,0.0000
4.2660,110.7786,4.3288,1.2281,0.0000
4.2333,110.7068,4.2829,1.2309,0.0000
4.3606,111.6615,3.9893,1.2290,0.0000
4.1904,110.9320,4.1624,1.2403,0.0000
4.2684,111.2406,4.8192,1.4443,0.0000
4.2440,111.0650,4.2353,1.2707,0.0000
4.2909,110.9875,4.0332,1.2496,0.0000
4.1694,110.7067,4.2864,1.1936,0.0000
4.2264,110.8184,4.2828,1.2885,0.0000
