Preprocessing,Inference,Postprocessing,Tracking,OpFlow
0.0000,0.0000,0.0000,0.0000,18.4906
4.1360,46.4528,4.1375,19.6717,0.0000
0.0000,0.0000,0.0000,0.0000,18.0131
0.0000,0.0000,0.0000,0.0000,17.3607
3.9157,46.5341,4.2677,18.9387,0.0000
0.0000,0.0000,0.0000,0.0000,16.1722
0.0000,0.0000,0.0000,0.0000,15.0713
4.5390,46.7532,4.0683,16.2716,0.0000
0.0000,0.0000,0.0000,0.0000,14.6023
0.0000,0.0000,0.0000,0.0000,13.6589
4.3443,46.5229,4.1449,14.7821,0.0000
0.0000,0.0000,0.0000,0.0000,14.0401
0.0000,0.0000,0.0000,0.0000,14.1427
4.1455,46.4269,4.1588,14.6911,0.0000
0.0000,0.0000,0.0000,0.0000,13.5677
0.0000,0.0000,0.0000,0.0000,13.0406
4.1840,46.5087,3.7541,14.4354,0.0000
0.0000,0.0000,0.0000,0.0000,14.4207
0.0000,0.0000,0.0000,0.0000,14.6756
4.1498,46.4414,4.1499,14.7656,0.0000
0.0000,0.0000,0.0000,0.0000,14.1585
0.0000,0.0000,0.0000,0.0000,15.5745
4.1728,46.6193,3.7366,15.4548,0.0000
0.0000,0.0000,0.0000,0.0000,13.9717
0.0000,0.0000,0.0000,0.0000,9.7471
4.1036,46.5215,3.9440,12.6512,0.0000
0.0000,0.0000,0.0000,0.0000,11.9339
0.0000,0.0000,0.0000,0.0000,11.0096
4.1591,46.3569,4.0256,12.9590,0.0000
0.0000,0.0000,0.0000,0.0000,12.8264
0.0000,0.0000,0.0000,0.0000,12.3503
3.9191,46.5050,4.3773,14.6083,0.0000
0.0000,0.0000,0.0000,0.0000,12.6265
0.0000,0.0000,0.0000,0.0000,12.3354
4.1726,47.4240,4.0530,14.7925,0.0000
0.0000,0.0000,0.0000,0.0000,12.6317
0.0000,0.0000,0.0000,0.0000,11.7431
4.1661,46.5586,4.1713,14.4718,0.0000
0.0000,0.0000,0.0000,0.0000,11.3846
0.0000,0.0000,0.0000,0.0000,11.9771
3.9562,46.3603,3.9574,11.2322,0.0000
0.0000,0.0000,0.0000,0.0000,15.2129
0.0000,0.0000,0.0000,0.0000,14.0704
