preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.4321,27.2024,0.3979,3.4897,26.4778
5.4977,27.9670,0.3929,3.6666,33.4758
5.5118,28.7433,0.4041,3.8395,35.5014
5.4746,27.2789,0.4060,3.3622,27.4783
5.5332,27.2007,0.4036,3.3033,28.5592
5.5006,28.7697,0.4017,3.5429,32.7851
5.5189,28.5532,0.4225,3.5031,25.0023
5.4674,27.9076,0.4005,3.6664,25.5580
5.4266,26.5679,0.4213,3.1531,30.4310
5.5151,26.6378,0.4215,3.1810,27.2446
5.5058,26.6519,0.4251,3.2806,29.1366
5.4877,27.4935,0.4044,3.3870,29.2275
5.5079,28.1963,0.4041,3.7363,28.1553
5.6179,28.6498,0.4101,3.8159,29.5064
5.6107,30.8113,0.4301,4.0772,31.0707
6.9451,29.5372,0.4253,3.7398,30.3525
5.6205,29.7806,0.4280,3.7835,30.3875
5.7101,29.1841,0.4265,3.8831,32.7961
5.6236,29.2983,0.4277,3.7384,28.9120
5.6071,29.9921,0.4294,3.9806,26.9907
5.5904,29.7437,0.4272,4.0362,28.2025
5.6181,30.9577,0.5021,4.2934,25.6287
5.5895,31.6341,0.4299,4.3108,30.0357
5.5261,31.1363,0.4144,4.2565,30.6668
5.5094,31.2269,0.4139,4.4258,27.4241
5.5964,31.1115,0.4146,4.5044,29.3731
5.4996,29.5672,0.4029,4.4703,32.0599
5.5294,28.8355,0.4070,4.2377,29.9904
5.4414,29.5291,0.4175,4.3578,29.2542
6.7387,30.9091,0.4258,4.3366,32.5899
5.5523,29.5382,0.4125,4.4496,32.0475
5.4603,28.9667,0.4406,4.2405,29.8920
5.4796,28.8579,0.4036,3.9105,29.3483
5.4808,28.4095,0.4039,3.7334,26.9725
5.4889,30.3478,0.4096,4.0493,28.7044
5.5175,28.0173,0.4003,3.9248,30.1401
5.5003,28.7945,0.4032,3.9513,26.3507
5.4927,28.4126,0.4032,3.7849,26.9067
5.5227,28.7323,0.4020,3.7558,30.5872
5.5301,28.0778,0.4065,3.5841,26.4014
5.5096,28.3880,0.4098,3.5367,32.1558
5.5428,29.1860,0.4132,3.5496,33.3085
5.5296,30.4101,0.4301,3.7100,24.9202
5.5273,29.8548,0.4129,4.6561,29.5490
6.9213,31.4124,0.4144,3.8176,31.4344
5.6815,28.0600,0.4084,3.5613,26.2889
6.2854,28.0263,0.4027,3.5968,27.6888
5.5232,31.0714,0.4768,3.9165,31.0120
5.5025,30.2200,0.4015,3.8602,31.0158
5.5146,30.1144,0.4010,3.9406,30.0294
5.5676,29.4657,0.4022,3.7684,29.7961
5.5037,31.1227,0.4287,3.8788,29.0662
